Finance Experiences,PHCs-Experiences,KYP-Knitting and Stitchings,KYP-Beauty,"KYP-Watching(TV serials,youtube)",KYP-Home decor,KYP,About language,Daily life
आप बैंकिंग के लिए मोबाइल फोन का उपयोग करने में कितने सहज हैं? क्या आपको यह मददगार लगता है?,क्या आपको गर्भावस्था के दौरान पोषण और आहार के बारे में जानकारी मिली? आपको किस तरह की सलाह दी गई और आपने इसे कैसे लागू किया?,"क्या आपकी कोई पसंदीदा बुनाई और सिलाई की किताब, यूट्यूब चैनल, सोशल मीडिया अकाउंट आदि है? आपने उनसे क्या सीखा? आप समुदाय में अपने कौशल का विज्ञापन कैसे करते/करती हैं?","क्या आपकी कोई पसंदीदा ब्यूटी बुक, यूट्यूब चैनल, सोशल मीडिया अकाउंट आदि है? आपने उनसे क्या सीखा? आप समुदाय में अपने कौशल का विज्ञापन कैसे करते/करती हैं?","क्या टीवी सीरियल देखने के बाद आपने कभी किसी विशेष संदेश या नैतिकता को अपने जीवन में लागू किया है? अगर हां, तो कैसे?",क्या आपने कभी किसी हस्तशिल्प मेले या कार्यशाला में हिस्सा लिया है? इस अनुभव के बारे में बताएं और आपने वहां से क्या सीखा?,"कार्यस्थल पर आप संघर्षपूर्ण स्थितियों या मुश्किल परिस्थितियों से कैसे निपटते/निपटती हैं? (hint - समय सीमा को पूरा करना, सहकर्मियों के साथ तालमेल, पहचान)","आपके अनुसार हिंदी भाषा के सामने आधुनिक दुनिया में क्या चुनौतियाँ हैं? hint - अद्वितीय उच्चारण, शब्दावली के विभिन्न स्रोत, विभिन्न स्क्रिप्ट",पानी को छानने और शुद्ध करने के लिए आप कौन-कौन से तरीके अपनाते हैं? कोई घरेलू उपाय?
आप अपने क्षेत्र में बैंकिंग सेवाओं में क्या बदलाव देखना चाहेंगे? क्या ऐसी चीज़ें हैं जो आपको लगता है कि गायब हैं?,स्वास्थ्य केंद्र में प्रसव के दौरान आपको किस प्रकार की सहायता मिली? क्या कर्मचारी सहयोगी और जानकार थे? क्या आप अपना डिलीवरी अनुभव साझा कर सकते हैं?,"हाथ से बने कपड़े बाज़ार में बने रेडीमेड कपड़ों से किस प्रकार अलग होते हैं? भले ही रेडीमेड कपड़ों का बहुत बड़ा बाजार है, फिर भी लोग बुने और सिले हुए कपड़े क्यों खरीदना पसंद करते हैं?","ब्यूटी पार्लर में हाथ से किए गए ट्रीटमेंट्स बाजार में बने रेडीमेड प्रोडक्ट्स से किस प्रकार अलग होते हैं? भले ही रेडीमेड प्रोडक्ट्स का बहुत बड़ा बाजार है, फिर भी लोग हाथ से किए गए ट्रीटमेंट्स क्यों पसंद करते हैं?","क्या आपको लगता है कि टीवी सीरियल्स आपके मूड और भावनाओं को प्रभावित करते हैं? अगर हां, तो किस प्रकार?",आप अपने घर की सजावट को अन्य जिम्मेदारियों और रुचियों के साथ कैसे संतुलित करते/करती हैं?,मनुष्य हमेशा अपनी जड़ों से जुड़ना चाहते हैं। आपको अपनी जड़ों और उन पलों के बारे में क्या याद है जिन्हें आप आज भी संजोए रखे हैं?,"आपके अनुसार भविष्य में हिंदी भाषा का प्रचार और संरक्षण कैसे किया जा सकता है?(स्कूल, मीडिया और काम में अनिवार्य उपयोग)",क्या आपके गाँव में कभी पानी की भारी कमी या सूखा पड़ा है? इसने गाँव के जीवन को कैसे प्रभावित किया?
क्या आप अपने मासिक खर्च का हिसाब रखते हैं? आप कैसे तय करते हैं कि क्या खर्च करना है और क्या बचाना है?,प्रसव के बाद स्तनपान कराने में स्वास्थ्य केंद्र के कर्मचारियों ने आपकी कैसे मदद की? क्या आपको कोई सुझाव या समर्थन प्राप्त हुआ जिससे आपके लिए प्रक्रिया आसान हो गई?,आपको क्या लगता है कि बुनाई और सिलाई का आपके जीवन पर क्या प्रभाव पड़ा है? क्या आपने इससे पर्याप्त धन कमाया है? क्या आपने लगातार धागों के साथ काम करने के कारण किसी शारीरिक दर्द का अनुभव किया है?,आपको क्या लगता है कि ब्यूटी पार्लर का आपके जीवन पर क्या प्रभाव पड़ा है? क्या आपने इससे पर्याप्त धन कमाया है? क्या आपने लगातार केमिकल्स और प्रोडक्ट्स के साथ काम करने के कारण किसी शारीरिक दर्द का अनुभव किया है?,"क्या आपने कभी किसी टीवी सीरियल के किरदार या कहानी से प्रेरणा लेकर कुछ नया करने की कोशिश की है? अगर हां, तो क्या?",आपके घर की सजावट के लिए आपकी सबसे पसंदीदा वस्तु कौन सी है और क्यों? क्या इसके पीछे कोई खास कहानी है?,"यदि आप दुनिया में कहीं भी यात्रा कर सकते/सकतीं, तो आप कहाँ जाते/जातीं और क्यों?",क्या आपने कभी हिंदी की कोई क्षेत्रीय बोलियाँ सीखी हैं या उनका उपयोग किया है? क्या आप हमें हिंदी की और बोलियों के बारे में बता सकते/सकती हैं?,शादी जैसे बड़े समारोह में पानी की बड़ी मात्रा की व्यवस्था करने के लिए आप क्या करते हैं?
क्या आपने कभी अपने पैसे के प्रबंधन के लिए मदद मांगी है? आपको कौन से संसाधन या लोग मददगार लगे?,आपके बच्चे को पहले दो वर्षों में कौन से टीके लगे? क्या आपको टीकाकरण कार्यक्रम के बारे में सूचित किया गया था और क्या इसका ठीक से पालन किया गया था?,"क्या आपके पास बुनाई से संबंधित कोई लक्ष्य या आकांक्षाएं हैं जिनके लिए आप काम कर रहे/रही हैं? (Hints - फॅशन डिझायनर बनना, खुद का फॅशन हब खोलना ).","क्या आपके पास ब्यूटी पार्लर से संबंधित कोई लक्ष्य या आकांक्षाएं हैं जिनके लिए आप काम कर रहे/रही हैं? (Hints - फॅशन डिझायनर बनना, खुद का फॅशन हब खोलना).","क्या आप अपने पसंदीदा टीवी सीरियल्स के कलाकारों और उनके निजी जीवन के बारे में जानने में रुचि रखते/रखती हैं? अगर हां, तो कैसे जानकारी प्राप्त करते/करती हैं?","क्या आपके पास कोई ऐसा खास क्षेत्र या कोना है जिसे आपने खास तरीके से सजाया है? अगर हां, तो इसे सजाने के पीछे की कहानी क्या है?",मुझे उस समय के बारे में बताएं जब आपने कार्यस्थल पर किसी चुनौतीपूर्ण प्रोजेक्ट पर काम किया हो या चुनौतीपूर्ण कार्य किया हो। आपने उस परिस्थिति को कैसे संभाला?,आपके अनुसार क्या हिंदी भाषा ने इस क्षेत्र में अन्य भाषाओं के विकास को प्रभावित किया है?,क्या आप मुझे बता सकते हैं कि नलकूप कैसे काम करता है? क्या आपके गाँव में एक बड़ा कुआँ है जिसका उपयोग सभी लोग पानी के लिए करते हैं?
आपके गाँव के लोग पैसे बचाने और बैंकों का उपयोग करने के बारे में कैसा महसूस करते हैं? क्या ऐसे विश्वास हैं जो उनके पैसे संभालने के तरीके को प्रभावित करते हैं?,"क्या आपके गाँव में पर्याप्त स्वच्छता सुविधाएँ हैं? ये सुविधाएं आपके दैनिक जीवन को कैसे प्रभावित करती हैं, और आपके अनुसार किन सुधारों की आवश्यकता है?",आप आमतौर पर अपनी बुनाई और सिलाई के काम के लिए रंग कैसे चुनते/चुनती हैं? क्या आप सही रंग पैलेट चुनने के लिए कोई सुझाव देंगे/देंगी? आपके कुछ पसंदीदा रंग कौन से हैं?,आप आमतौर पर ब्यूटी प्रोडक्ट्स के लिए ब्रांड्स कैसे चुनते/चुनती हैं? क्या आप सही प्रोडक्ट्स चुनने के लिए कोई सुझाव देंगे/देंगी? आपके कुछ पसंदीदा ब्रांड्स कौन से हैं?,"क्या आप टीवी सीरियल्स के माध्यम से किसी विशेष भाषा या संस्कृति के बारे में कुछ नया सीखते/सीखती हैं? अगर हां, तो क्या?",क्या आप अपने घर की सजावट के लिए किसी विशेष प्रकार के रंगों का उपयोग करते/करती हैं? आपको कौन से रंग सबसे ज्यादा पसंद हैं और क्यों?,मुझे उस समय के बारे में बताएं जब आपको कोई डेडलाइन को पूरा करने या किसी लक्ष्य को प्राप्त करने के लिए बहुत मेहनत करनी पड़ी हो? आपने किस प्रकार सभी तरह के कार्यों को संभाला और समय पर काम पूरा किया?,आपके अनुसार हिंदी भाषा आपके राज्य की सांस्कृतिक पहचान में क्या भूमिका निभाती है?,क्या आप बता सकते हैं कि हैंडपंप कैसे काम करता है? क्या आपने हैंडपंप पर लंबी कतार देखी है? क्या गर्मी में सूख जाता है?
क्या आपने बैंकों और स्थानीय सामुदायिक समूहों के बीच साझेदारी के बारे में सुना है? आपको क्या लगता है कि वे आपके गांव की महिलाओं की कैसे मदद कर सकते हैं?,"आपके घर से निकटतम स्वास्थ्य केंद्र कितनी दूर है? आप आमतौर पर वहां कैसे यात्रा करते हैं, और स्वास्थ्य केंद्र तक पहुंचने में आपको किन चुनौतियों का सामना करना पड़ता है?","हमें अपना बनाया हुआ सामान इस्तेमाल करने वालों के बारे में बताएं। क्या आप कोई छोटा बिज़नेस चलाते/चलाती हैं या किसी फैशन ब्रांड/कारखाने के लिए काम करते/करती हैं? एक कपड़े (शर्ट, ब्लाउज, सलवार सूट, चूड़ीदार, टॉप, पैंट आदि) की कीमत आप किस प्रकार तय करते/करती हैं?",हमें अपने ग्राहकों के बारे में बताएं। क्या आप कोई छोटा बिज़नेस चलाते/चलाती हैं या किसी बड़े पार्लर के लिए काम करते/करती हैं? एक ब्यूटी ट्रीटमेंट की कीमत आप किस प्रकार तय करते/करती हैं?,आप टीवी सीरियल्स और यूट्यूब वीडियो देखने में किस प्रकार का अंतर महसूस करते/करती हैं? आपको कौन सा माध्यम ज्यादा पसंद है और क्यों?,"आप अपने घर की सजावट के लिए किन-किन सामग्रियों का उपयोग करते/करती हैं? जैसे कि लकड़ी, मिट्टी, धातु, कपड़ा आदि।",मुझे उस समय के बारे में बताएं जब आपको एक महत्वपूर्ण निर्णय लेना पड़ा था। आपने यह कठिन निर्णय लेने में किन बातों पर विचार किया? आपने किसकी सलाह ली?,क्या आपको कभी हिंदी में बोलते या लिखते समय किसी कठिनाई का सामना करना पड़ा है?,"क्या आप एक ट्रेन का वर्णन कर सकते हैं? (सीटें, बर्थ, इंजन, शोर, पहिए, पटरियां) आपने रेलगाड़ी से कहाँ की यात्रा की है?"
"क्या आप अपने समुदाय में किसी ऐसी महिला को जानते हैं जो दूसरों को बैंकिंग सेवाओं के बारे में सीखने में मदद करती हो? आपके अनुसार अधिक महिलाओं को बैंक खाते खुलवाने में वे कितने प्रभावी हैं? उदाहरण के लिए आजीविका, सखी ऐप, या अन्य सरकारी पहल",स्वास्थ्य केंद्र तक पहुँचने के लिए परिवहन के कौन से विकल्प उपलब्ध हैं? क्या वे विश्वसनीय और किफायती हैं? क्या आप अपने सामने आई कोई कठिनाई साझा कर सकते हैं?,बॉलीवुड/टॉलीवुड ने भारत में हर जगह फैशन ट्रेंड को प्रभावित किया है? ऐसी कौन सी फिल्में/कैरेक्टर हैं जिन्हें आप उनके कपड़ों की शैली के लिए पसंद करते/ करती हैं? क्या आपने किसी फिल्म को देख कर वैसी ही पोशाक बनाने की कोशिश की है?,बॉलीवुड/टॉलीवुड ने भारत में हर जगह ब्यूटी ट्रेंड को प्रभावित किया है? ऐसी कौन सी फिल्में/कैरेक्टर हैं जिन्हें आप उनके ब्यूटी स्टाइल के लिए पसंद करते/करती हैं? क्या आपने किसी फिल्म को देख कर वैसा ही ट्रीटमेंट करने की कोशिश की है?,"क्या आप अपने टीवी देखने के अनुभव को और बेहतर बनाने के लिए किसी विशेष तकनीक या उपकरण का उपयोग करते/करती हैं? अगर हां, तो कौन से?","क्या आपके पास कोई ऐसी सजावटी वस्तु है जो आपको किसी खास व्यक्ति से मिली हो या जिसका आपके लिए भावनात्मक महत्व हो? अगर हां, तो इसके बारे में बताएं।",मुझे उस समय के बारे में बताएं जब आपको किसी ऐसे व्यक्ति के साथ काम करना पड़ा था जिसके साथ काम करना मुश्किल था। आप अपनी इस स्थिति से कैसे निपटे?,"आपके अनुसार हिंदी भाषा, भारत की आधिकारिक भाषा, अंग्रेजी की तुलना में कैसी है?","क्या आप एक यात्री बस का वर्णन कर सकते हैं (चालक की सीट, ऊपर भंडारण वाहक, खिड़कियां, सीटें, डीजल पर चलती हैं) आपने बस से कहाँ यात्रा की है?"
क्या आपने या आपके किसी परिचित ने बैंकिंग सेवाओं के लिए अपने पति के नाम का उपयोग किया है? आपको क्या लगता है कि महिलाएं इसे क्यों पसंद करती हैं? उदाहरण वित्त प्रबंधन और पैसा कमाने में महिलाओं की भूमिका की व्याख्या करता है,क्या आपके गाँव में स्वच्छ पेयजल उपलब्ध है? स्वच्छ जल की उपलब्धता आपके परिवार के स्वास्थ्य को कैसे प्रभावित करती है?,क्या आपको ग्राहकों से कोई अच्छी फीडबैक मिली हैं? क्या आपने किसी को हाथ से बना कपड़ा गिफ्ट किया है? लोग आपकी स्किल के बारे में क्या सोचते हैं?,क्या आपको ग्राहकों से कोई अच्छी फीडबैक मिली हैं? क्या आपने किसी को ब्यूटी ट्रीटमेंट गिफ्ट किया है? लोग आपकी स्किल के बारे में क्या सोचते हैं?,"क्या आपके पास कोई ऐसा टीवी सीरियल है जिसे आप अपने परिवार के साथ मिलकर देखना पसंद करते/करती हैं? अगर हां, तो कौन सा और क्यों?","क्या आपको अपने घर की सजावट के लिए किसी विशेष तकनीक या प्रक्रिया का पालन करना पड़ता है? अगर हां, तो क्या?",मुझे उस समय के बारे में बताएं जब आपने काम में कई गलती कर दी थी। आपने उस स्थिति को कैसे संभाला?,हिंदी भाषा संस्कृत या अंग्रेजी जैसी अन्य भाषाओं से कैसे प्रभावित हुई है?,आपने ट्रैक्टरों के विभिन्न प्रकार/ब्रांड क्या देखे हैं और वे किस प्रकार उपयोगी हैं? यह पारंपरिक तरीकों से कैसे अलग है?
"क्या आपको लगता है कि आपके पास बैंक शुल्क और ऋण प्रस्तावों के बारे में पर्याप्त जानकारी है? निर्णय लेने से पहले आप क्या जानकारी चाहते हैं कि आपके पास हो? उदाहरण के लिए, क्या आपके लिए बैंक में खाता खोलना या ऋण प्राप्त करना कठिन है, ग्रामीण बैंकों के साथ आपके क्या अनुभव हैं?",क्या आपके गाँव में माताओं के लिए कोई सामुदायिक कार्यक्रम या सहायता समूह हैं? इन कार्यक्रमों ने आपकी किस प्रकार मदद की है और आप क्या अतिरिक्त सहायता देखना चाहेंगे?,क्या कोई बुनाई और सिलाई तकनीक या स्टाइल है जिसे आप भविष्य में सीखना या एक्सप्लोर करना चाहेंगे/चाहेंगी?,क्या कोई ब्यूटी तकनीक या स्टाइल है जिसे आप भविष्य में सीखना या एक्सप्लोर करना चाहेंगे/चाहेंगी?,"क्या आपको लगता है कि टीवी सीरियल्स ने आपके जीवन पर कोई सकारात्मक या नकारात्मक प्रभाव डाला है? अगर हां, तो कैसे?","क्या आपने कभी अपने घर की सजावट के लिए किसी खास आइडिया को इंटरनेट या किसी अन्य स्रोत से लिया है और उसे अपने तरीके से अपनाया है? अगर हां, तो कैसे?",क्या आप पिछले 1 साल में हुई कोई यादगार घटना या अनुभव के बारे में बता सकते/सकती हैं?,क्या आपको लगता है कि बच्चों को हिंदी भाषा सिखाना जरूरी है? क्यों सिखाया जाना चाहिए या क्यों नहीं?,"क्या अब आपके पास एलपीजी कनेक्शन है? यदि हाँ, तो लकड़ी का उपयोग करने का अनुभव पहले के अनुभव से किस प्रकार भिन्न है? यदि नहीं, तो आपको किन कठिनाइयों का सामना करना पड़ रहा है?"
क्या आप इससे पहले भुगतान करने के लिए UPI के बारे में जानते थे? आप अपने व्यवसाय के लिए UPI का उपयोग करने के बारे में क्या सोचते हैं? उदाहरण के लिए क्या आपको UPI का उपयोग करने से डर लगता है या यह आपके लिए आसान है।,आप अपने गाँव में उपलब्ध समग्र स्वास्थ्य सेवाओं के बारे में कैसा महसूस करते हैं? आपके अनुसार इन सेवाओं की ताकत और कमजोरियां क्या हैं?,,आप अपने ब्यूटी पार्लर में विभिन्न प्रकार के त्वचा और बालों की देखभाल के लिए कौन से उत्पाद और ब्रांड्स का उपयोग करते/करती हैं? क्या आपको किसी विशेष उत्पाद के साथ बहुत अच्छे परिणाम मिले हैं?,"क्या आपने कभी किसी टीवी सीरियल की कहानी में बदलाव की इच्छा जताई है या सोचा है कि कहानी को किस प्रकार बेहतर बनाया जा सकता है? अगर हां, तो कैसे?","क्या आप अपने घर की सजावट के लिए किसी विशेष बजट का पालन करते/करती हैं? अगर हां, तो इस बजट को कैसे मैनेज करते/करती हैं?",आपके जीवन में कुछ सबसे बड़ी चुनौतियाँ क्या आई हैं और आपने उन्हें कैसे पार किया है?,आपके अनुसार हिंदी भाषा भारत के विभिन्न हिस्सों के बीच सांस्कृतिक आदान-प्रदान और संचार में क्या भूमिका निभाती है?,क्या आप हमें घर में खाना पकाने के लिए एलपीजी सिलेंडर का उपयोग करते समय बरती जाने वाली सुरक्षा सावधानियों के बारे में बता सकते हैं?
क्या समुदाय के किसी सदस्य ने UPI जैसी डिजिटल भुगतान विधियों का उपयोग करने के बारे में आपसे संपर्क किया है? उन्होंने आपसे कैसे संपर्क किया? उदाहरण के लिए आपने यूपीआई का उपयोग कहां से सीखा या आपने अपने गांव में यूपीआई का उपयोग कहां देखा,आप अपने गांव में स्वास्थ्य सुविधाओं में क्या सुधार देखना चाहेंगे? क्या आप कोई विशिष्ट परिवर्तन सुझा सकते हैं जिससे महत्वपूर्ण अंतर आएगा?,,"क्या आपने कभी अपने ग्राहकों के लिए विशेष अवसरों जैसे कि शादियों, त्यौहारों, या अन्य महत्वपूर्ण कार्यक्रमों के लिए विशेष मेकअप और हेयरस्टाइल तैयार किए हैं? इन मौकों के लिए तैयारी कैसे करते/करती हैं?","क्या आप टीवी सीरियल्स के अलावा किसी विशेष प्रकार के यूट्यूब चैनल या वीडियो देखते/देखती हैं? अगर हां, तो कौन से और क्यों?","क्या आपको घर की सजावट के लिए किसी खास प्रकार के सामान या क्राफ्ट्स को ढूंढने में कोई चुनौती का सामना करना पड़ा है? अगर हां, तो इसे कैसे सुलझाया?","आपने जीवन में सबसे महत्वपूर्ण सबक क्या सीखा हैं, और यह आपको कैसे प्रभावित किया है?","हिंदी भाषा का इतिहास क्या है? (संस्कृत से प्रभावित) यह समय के साथ कैसे विकसित हुई और इसमें क्या बदलाव आए हैं? (स्कूल, मीडिया और काम में अनिवार्य उपयोग, मौखिक और लिखित रूप)","क्या आपके घर में शौचालय है? यदि हां, तो क्या फायदे हैं? यदि नहीं, तो इसके बिना आपको किन कठिनाइयों का सामना करना पड़ रहा है?"
आप अपने व्यवसाय के लिए UPI का उपयोग करने में क्या लाभ देखते हैं? आपको क्या लगता है कि यह आपकी बिक्री में कैसे मदद कर सकता है?,आपके बच्चे के विकास के लिए पहले 1000 दिनों के महत्व के बारे में आपको क्या सलाह दी गई? इस अवधि के दौरान इस सलाह ने आपके कार्यों और निर्णयों को कैसे प्रभावित किया?,,आप अपने ब्यूटी पार्लर के माहौल को आरामदायक और आकर्षक बनाने के लिए कौन-कौन से कदम उठाते/उठाती हैं? क्या आपने अपने पार्लर की सजावट के लिए कोई विशेष थीम या रंग योजना चुनी है?,"क्या आपको टीवी सीरियल्स में दिखाए जाने वाले फैशन और स्टाइल से प्रेरणा मिलती है? अगर हां, तो कैसे?",क्या आप अपने घर की सजावट के बारे में कोई खास टिप्स या सुझाव साझा करना चाहेंगे/चाहेंगी जिन्हें आप दूसरों के साथ बांटना चाहेंगे/चाहेंगी?,"आपकी सबसे बड़ी उपलब्धियाँ (अचीवमेंट) क्या हैं, और आपको किस पर सबसे अधिक गर्व महसूस होता है?",हिंदी भाषा क्षेत्र की अन्य कम प्रचलित बोलियों से किस तरह से संबंधित है?,क्या आपके गाँव में खुले में शौच जाना सामान्य था? इसके क्या नुकसान हैं?
क्या आपको कभी बैंकिंग ऐप का उपयोग करने के बाद भुगतान प्राप्त करने में देरी का सामना करना पड़ा है? इसका आपके व्यवसाय पर क्या प्रभाव पड़ा? या क्या आपने किसी को UPI का उपयोग करने में कठिनाई महसूस करते देखा है,आपने यह कैसे सुनिश्चित किया कि गर्भावस्था और स्तनपान के दौरान आपको और आपके बच्चे को उचित पोषण मिले? क्या आप कुछ ऐसे खाद्य पदार्थ और अभ्यास साझा कर सकते हैं जो फायदेमंद थे?,,क्या आप अपने ब्यूटी पार्लर में ग्राहकों के लिए कोई विशेष पैकेज या डिस्काउंट ऑफर करते/करती हैं? इन ऑफर्स को ग्राहकों तक पहुंचाने के लिए आप कौन-कौन सी मार्केटिंग तकनीकें अपनाते/अपनाती हैं?,आप टीवी सीरियल्स के बारे में अपनी राय और समीक्षाएं किस प्रकार साझा करते/करती हैं? क्या आप सोशल मीडिया का उपयोग करते/करती हैं?,"क्या आपके घर की सजावट में कोई पारंपरिक तत्व शामिल हैं? अगर हां, तो यह आपके परिवार की परंपराओं और संस्कारों से कैसे जुड़ा है?",घूमने के लिए आपकी कुछ पसंदीदा जगहें कौन सी हैं और आप उन्हें क्यों पसंद करते/करती हैं?,"साहित्य, कविता और कलात्मक अभिव्यक्ति के अन्य रूपों में हिंदी भाषा का इस्तेमाल कैसे किया गया है? (Hints - डान्स क्लास जॉईन करना, नये डान्स मूव्ह सिखना, etc.).",अपने घर के आस-पास के क्षेत्रों को स्वच्छ रखने के लिए आप क्या उपाय करते हैं?
आप यहां बैंकिंग सेवाओं में क्या बदलाव देखना चाहेंगे? क्या नहीं हैं?,"गर्भावस्था के दौरान आपको परिवार और समुदाय से किस प्रकार का समर्थन मिला? इस सहायता ने आपकी किस प्रकार सहायता की, और आपके अनुसार कौन-सी अतिरिक्त सहायता सहायक रही होगी?",,आप अपने ब्यूटी पार्लर के काम के दौरान स्वच्छता और स्वास्थ्य सुरक्षा के कौन-कौन से उपाय अपनाते/अपनाती हैं? क्या आपके पास इसके लिए कोई विशेष गाइडलाइंस या प्रक्रियाएं हैं?,"क्या आपने कभी किसी टीवी सीरियल के एपिसोड को मिस कर दिया है और बाद में उसे देखने के लिए किसी विशेष उपाय का सहारा लिया है? अगर हां, तो क्या?","क्या आप अपने घर की सजावट के लिए किसी विशेष क्षेत्रीय या सांस्कृतिक शिल्प का उपयोग करते/करती हैं? अगर हां, तो कौन सा और क्यों?","आपके बचपन की सबसे प्यारी यादें क्या हैं, और वे आपके लिए खास क्योंं हैं?","हिंदी भाषा की कुछ आम वाक्यांश और मुहावरे कौन से हैं जिनका उपयोग रोज़मर्रा की बातचीत में किया जाता है? (Hints - नाच ना आये आंगन तेढा, आस्तीन का सांप etc.).",आप यह सुनिश्चित करने के लिए क्या उपाय कर रहे हैं कि नवजात शिशु स्वच्छ वातावरण में रहें और अस्वास्थ्यकर स्थितियों के कारण बीमार न हों?
क्या आप जानते हैं कि ऐसी कंपनियाँ हैं जो व्यवसायों को डिजिटल भुगतान स्वीकार करने में मदद करती हैं? आप और अधिक कैसे सीखना चाहेंगे?,क्या आपको अपने बच्चे के विकास के लिए प्रारंभिक बचपन की उत्तेजना और खेल के महत्व के बारे में सूचित किया गया था? आपने अपने बच्चे के विकास को प्रोत्साहित करने के लिए किन गतिविधियों में भाग लिया?,,आपने अपने ब्यूटी पार्लर में आने वाले ग्राहकों की त्वचा और बालों की समस्याओं को कैसे सुलझाया है? क्या आपने किसी ग्राहक की समस्या को हल करने के लिए कोई विशेष तकनीक या उपचार इस्तेमाल किया है?,"क्या आप अपने टीवी देखने के अनुभव को और ज्यादा रोचक बनाने के लिए किसी विशेष गतिविधि में भाग लेते/लेती हैं, जैसे कि टीवी शो पर आधारित गेम या प्रतियोगिता?",आपके घर की सजावट के लिए कौन-कौन से हस्तशिल्प या क्राफ्ट प्रोजेक्ट्स आपके लिए सबसे संतोषजनक रहे हैं? क्यों?,आप अपनी नौकरी/करियर के संबंध में भविष्य में क्या देख रहे/रही हैं?,हिंदी बोलने वाले लोग अपनी सांस्कृतिक परंपराओं का जश्न मनाने और उनका सम्मान करने के लिए अपनी भाषा का कैसे उपयोग करते हैं?,आपके गांव में जल निकासी व्यवस्था कितनी अच्छी है? इसमें सुधार के लिए क्या किया जा सकता है?
आप ऑनलाइन बैंकिंग का उपयोग करने के बारे में कैसा महसूस करते हैं? क्या यह बैंक जाने से आसान या कठिन है?,आपने गर्भावस्था की सामान्य असुविधाओं और स्वास्थ्य समस्याओं का प्रबंधन कैसे किया? क्या आपको स्वास्थ्य केंद्र या समुदाय के सदस्यों से कोई सलाह या उपाय प्राप्त हुआ?,,क्या आपने कभी किसी ब्यूटी कॉम्पटीशन या कार्यशाला में हिस्सा लिया है? इस अनुभव के बारे में बताएं और आपने वहां से क्या सीखा?,,,काम के अलावा आपके क्या शौक और रुचियाँ हैं?,हिंदी भाषा आपके राज्य की शिक्षा प्रणाली में क्या भूमिका निभाती है?,सर्दी-जुकाम ठीक करने के लिए आपके गाँव में प्रचलित कुछ घरेलू नुस्खे क्या हैं?
"क्या आपने डिजिटल इंडिया जैसे डिजिटल बैंकिंग में मदद करने वाले सरकारी कार्यक्रमों के बारे में सुना है? उन्होंने आपके दैनिक बैंकिंग अनुभवों को कैसे प्रभावित किया है? उदाहरण: ""मैंने एक सरकारी अभियान के माध्यम से आसानी से बैंक खाता खोलने के बारे में सीखा।""",आपकी गर्भावस्था और शिशु देखभाल में पारंपरिक प्रथाओं और मान्यताओं ने क्या भूमिका निभाई? क्या आप अपनाई गई कोई विशिष्ट प्रथाएं और उनका प्रभाव साझा कर सकते हैं?,,ब्यूटी इंडस्ट्री में नए ट्रेंड्स और तकनीकों के बारे में जानने के लिए आप कौन-कौन से स्रोतों का उपयोग करते/करती हैं? क्या आप किसी प्रोफेशनल ट्रेनिंग या कोर्स में हिस्सा लिया है?,,,"आप पैसा कमाने के लिए क्या काम करते/करती हैं, और आपने यह करियर चुनने का निर्णय कैसे लिया?","समय के साथ, विशेष रूप से अन्य भाषाओं और संस्कृतियों के प्रभाव से हिंदी भाषा के इस्तेमाल में क्या परिवर्तन आया है?",सिरदर्द ठीक करने के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
"क्या आप मोबाइल बैंकिंग ऐप्स का उपयोग करते हैं? उन्होंने आपके धन प्रबंधन को कैसे बदल दिया है? उदाहरण: ""ऐप का उपयोग करने से मेरा समय बचता है, इसलिए मुझे बैंक तक जाने की ज़रूरत नहीं है।""",आप अपनी गर्भावस्था और प्रारंभिक शिशु देखभाल के दौरान कौन से संसाधन या जानकारी चाहती हैं? आपको क्या लगता है कि इन संसाधनों ने आपकी कैसे मदद की होगी?,,आप अपने ब्यूटी पार्लर में ग्राहकों के साथ संबंध कैसे बनाए रखते/रखती हैं? क्या आपके पास ग्राहकों के फीडबैक लेने और उन्हें सुधारने के लिए कोई प्रक्रिया है?,,,आपके अनुसार आपकी सबसे बड़ी ताकत क्या है और कमजोरी क्या हैं?,"आज की दुनिया में हिंदी भाषा बोलने वाले लोगों को किन चुनौतियों का सामना करना पड़ता है? (Hints - अंग्रेजी भाषा का बढता प्रभाव, हिंदी साहित्य मैं होती हुई कमी ).",गले की खराश को ठीक करने के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
